evidenceId,abilityId,statement,evidenceType,workTags,selfCheckTip,sortOrder
infra-server-sp-2-a1-e1,infra-server-sp-2-a1,監視の仕組み（何を・どう監視しているか）を大まかに理解している,knowledge,monitoring|knowledge-base,,1
infra-server-sp-2-a1-e2,infra-server-sp-2-a1,監視画面や通知から異常の発生に気づける,practice,monitoring,,2
infra-server-sp-2-a1-e3,infra-server-sp-2-a1,アラートの対象（サーバー・サービス・ジョブなど）を特定できる,practice,monitoring,,3
infra-server-sp-2-a1-e4,infra-server-sp-2-a1,監視業務を実務で担当した経験がある,experience,monitoring,どんな体制・シフトで監視していたか説明できますか？,4
infra-server-sp-2-a2-e1,infra-server-sp-2-a2,発報内容から、何がどこで起きたかを読み取れる,knowledge,incident|monitoring,,1
infra-server-sp-2-a2-e2,infra-server-sp-2-a2,影響範囲や緊急度を大まかに判断できる,knowledge,incident,緊急度をどう判断したか、具体例を挙げられますか？,2
infra-server-sp-2-a2-e3,infra-server-sp-2-a2,障害の概要を整理し、関係者へ伝えた経験がある,experience,incident|reporting,,3
infra-server-sp-2-a3-e1,infra-server-sp-2-a3,基本的なログの見方を理解している,knowledge,log,,1
infra-server-sp-2-a3-e2,infra-server-sp-2-a3,サービスやプロセスの稼働状態を確認できる,practice,incident,,2
infra-server-sp-2-a3-e3,infra-server-sp-2-a3,確認結果から正常・異常のあたりを付けられる,knowledge,incident,,3
infra-server-sp-2-a3-e4,infra-server-sp-2-a3,手順書に沿った一次確認を実務で行った経験がある,experience,incident|procedure,,4
infra-server-sp-2-a4-e1,infra-server-sp-2-a4,障害発生時の対応手順を理解している,knowledge,incident|procedure,,1
infra-server-sp-2-a4-e2,infra-server-sp-2-a4,手順書に沿って初動対応を実施できる,practice,incident|procedure,,2
infra-server-sp-2-a5-e1,infra-server-sp-2-a5,引き継ぎに必要な情報（事象・時刻・実施内容）を整理できる,practice,escalation|reporting,引き継ぎメモに何を書いているか説明できますか？,1
infra-server-sp-2-a5-e2,infra-server-sp-2-a5,二次対応者へエスカレーションした経験がある,experience,escalation,,2
infra-server-sp-3-a1-e1,infra-server-sp-3-a1,OSやミドルウェアの基本的な構成を理解している,knowledge,knowledge-base,,1
infra-server-sp-3-a1-e2,infra-server-sp-3-a1,事象から調査対象のあたりを付けられる,knowledge,investigation,最近の障害で、どこから調べ始めたか思い出せますか？,2
infra-server-sp-3-a1-e3,infra-server-sp-3-a1,調査結果を報告書などにまとめられる,practice,investigation|reporting,,3
infra-server-sp-3-a1-e4,infra-server-sp-3-a1,障害調査を担当者として実施した経験がある,experience,investigation,,4
infra-server-sp-3-a2-e1,infra-server-sp-3-a2,ログから異常箇所や時系列を読み取れる,knowledge,log,,1
infra-server-sp-3-a2-e2,infra-server-sp-3-a2,設定内容を確認し、想定と異なる箇所に気づける,practice,config,,2
infra-server-sp-3-a2-e3,infra-server-sp-3-a2,切り分けの結果から原因の仮説を立てられる,knowledge,investigation,,3
infra-server-sp-3-a2-e4,infra-server-sp-3-a2,障害原因の切り分けを自分で完了した経験がある,experience,investigation,印象に残っている障害と、切り分けの流れを説明できますか？,4
infra-server-sp-3-a3-e1,infra-server-sp-3-a3,作業の影響範囲を事前に確認できる,knowledge,maintenance,,1
infra-server-sp-3-a3-e2,infra-server-sp-3-a3,サービスの再起動や設定変更を安全に実施できる,practice,maintenance|config,,2
infra-server-sp-3-a3-e3,infra-server-sp-3-a3,作業前後の状態確認と記録ができる,practice,maintenance|reporting,,3
infra-server-sp-3-a3-e4,infra-server-sp-3-a3,運用保守作業を継続的に担当した経験がある,experience,maintenance,,4
infra-server-sp-3-a4-e1,infra-server-sp-3-a4,定期保守作業の手順と注意点を理解している,knowledge,maintenance|procedure,,1
infra-server-sp-3-a4-e2,infra-server-sp-3-a4,定期保守作業を手順書に沿って実施できる,practice,maintenance|procedure,,2
infra-server-sp-3-a4-e3,infra-server-sp-3-a4,定期保守を担当した経験がある,experience,maintenance,どの周期で・どんな保守作業を担当したか説明できますか？,3
infra-server-sp-3-a5-e1,infra-server-sp-3-a5,パッチ・リリース作業の手順と注意点を理解している,knowledge,release|procedure,,1
infra-server-sp-3-a5-e2,infra-server-sp-3-a5,更新作業を手順書に沿って実施できる,practice,release|procedure,,2
infra-server-sp-3-a5-e3,infra-server-sp-3-a5,作業後の確認と、切り戻し判断の基準を理解している,knowledge,release|verification,どんな場合に切り戻すか、判断の条件を説明できますか？,3
infra-server-sp-3-a5-e4,infra-server-sp-3-a5,パッチ適用またはリリース対応を担当した経験がある,experience,release,,4
infra-server-sp-4-a1-e1,infra-server-sp-4-a1,手順書に沿って、サーバーの基本的な設定作業ができる,practice,build|procedure,,1
infra-server-sp-4-a1-e2,infra-server-sp-4-a1,設計書・パラメータシートを読み、作業内容を把握できる,knowledge,design-read,,2
infra-server-sp-4-a1-e3,infra-server-sp-4-a1,設定項目の意味を理解し、記載の誤りに気づける,knowledge,design-read|config,設計書の記載ミスに気づいた経験を挙げられますか？,3
infra-server-sp-4-a1-e4,infra-server-sp-4-a1,サーバー構築を担当者として実施した経験がある,experience,build,,4
infra-server-sp-4-a2-e1,infra-server-sp-4-a2,ミドルウェアの役割と基本構成を理解している,knowledge,middleware|knowledge-base,,1
infra-server-sp-4-a2-e2,infra-server-sp-4-a2,手順書に沿ってインストールと設定を実施できる,practice,middleware|procedure,,2
infra-server-sp-4-a2-e3,infra-server-sp-4-a2,設定変更が他の構成へ与える影響を考慮できる,knowledge,middleware|config,,3
infra-server-sp-4-a2-e4,infra-server-sp-4-a2,ミドルウェアの導入を実務で行った経験がある,experience,middleware,,4
infra-server-sp-4-a3-e1,infra-server-sp-4-a3,確認すべき観点（疎通・起動・連携）を挙げられる,knowledge,verification,,1
infra-server-sp-4-a3-e2,infra-server-sp-4-a3,基本的な確認手段（コマンドや画面確認）を使える,practice,verification,,2
infra-server-sp-4-a3-e3,infra-server-sp-4-a3,構築後の確認作業を実務で行った経験がある,experience,verification,,3
infra-server-sp-4-a4-e1,infra-server-sp-4-a4,証跡として何を残すべきかを理解している,knowledge,evidence-record,,1
infra-server-sp-4-a4-e2,infra-server-sp-4-a4,決められた形式で証跡を取得・整理できる,practice,evidence-record,,2
infra-server-sp-4-a4-e3,infra-server-sp-4-a4,納品や報告に使う証跡を作成した経験がある,experience,evidence-record|reporting,どんな形式で証跡を残したか説明できますか？,3
infra-server-sp-4-a5-e1,infra-server-sp-4-a5,既存環境で作業する際のリスクを理解している,knowledge,config|maintenance,,1
infra-server-sp-4-a5-e2,infra-server-sp-4-a5,変更内容の影響範囲を事前に確認できる,knowledge,config,,2
infra-server-sp-4-a5-e3,infra-server-sp-4-a5,手順書に沿って設定変更や構成変更を実施できる,practice,config|procedure,,3
infra-server-sp-4-a5-e4,infra-server-sp-4-a5,既存環境の変更対応を実務で行った経験がある,experience,config,稼働中の環境で特に気をつけたことを説明できますか？,4
