id,titleJa,shortLabel,role,requiredSkills,requiredExperience,recommendedCerts,toolsEnvironmentsLanguages,nextStepConditions,tags,branchNote
dev-web-common-1,テスト（Web アプリケーション QA）,テスト,"・テスト仕様書や確認項目を確認し、テスト内容を把握する役割
・定められた手順に沿って、単体、結合、総合テストを実施する役割
・不具合の有無を確認し、テスト結果を記録、報告する役割
・不具合の再現確認および修正後の再テストを行う役割","・テスト仕様書、確認項目に沿った単体、結合、総合テスト
・テスト結果の記録、報告
・不具合の再現確認
・修正後の再テスト","・テスト仕様書や確認項目に沿って、単体、結合、総合テストを実施した経験
・テスト実施後に、結果を記録し、報告した経験
・不具合発生時に、再現確認を行った経験
・修正後に再テストを実施し、動作を確認した経験",,,,開発|Webアプリケーション|Manager,
dev-mobile-sp-6,SE（要件定義）,SE（要件定義）,後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,開発|モバイルアプリ|Specialist,
dev-mobile-sp-5,SE（基本設計）,SE（基本設計）,後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,開発|モバイルアプリ|Specialist,
dev-mobile-sp-4,SE（詳細設計）,SE（詳細設計）,"・要件や基本設計の内容を確認し、設計対象を整理する役割
・画面、画面遷移、入力制御を実装可能な粒度まで具体化する役割
・API連携、ローカルデータ処理、例外処理（通信エラー含む）を詳細設計に落とし込む役割
・PGが実装できる粒度まで処理を分解し、詳細設計書を作成する役割","・要件定義、基本設計書の読解
・画面、画面遷移、入力制御の詳細設計 (Swift, Kotlin, Dart, Flutter 等)
・API連携、ローカルデータ処理、例外処理（通信エラー含む）の詳細設計 (REST API, JSON, SQLite 等)
・PGが実装できる粒度への処理分解、詳細設計書の作成 (Excel, Markdown, UML 等)","・要件定義や基本設計書を確認し、設計対象を整理した経験
・画面、画面遷移、入力制御の詳細設計を作成した経験 (Swift, Kotlin, Dart, Flutter 等)
・API連携、ローカルデータ処理、例外処理（通信エラー含む）の詳細設計を行った経験 (REST API, JSON, SQLite 等)
・PGが実装できる粒度まで処理を分解し、詳細設計書を作成した経験 (Excel, Markdown, UML 等)",,,,開発|モバイルアプリ|Specialist,
dev-mobile-sp-3,PG（コーディング）,PG（コーディング）,"・詳細設計書を確認し、実装対象と処理内容を把握する役割
・詳細設計書をもとに、画面機能を実装する役割
・詳細設計書をもとに、画面遷移、入力制御、API連携、ローカルデータ処理を実装する役割
・実装した内容を確認し、単体テストを行う役割","・詳細設計書の読解、実装対象の把握
・詳細設計書をもとにした画面機能の実装 (Swift, Kotlin, Dart, React Native 等)
・詳細設計書をもとにした画面遷移、入力制御、API連携、ローカルデータ処理の実装 (Swift, Kotlin, Flutter, React Native, SQLite 等)
・実装内容に応じた単体テストの実施 (Xcode, Android Studio, Flutter test 等)","・詳細設計書を確認し、実装対象や処理内容を整理した経験
・詳細設計書をもとに、画面機能の実装を行った経験 (Swift, Kotlin, Dart, React Native 等)
・詳細設計書をもとに、画面遷移、入力制御、API連携、ローカルデータ処理の実装を行った経験 (Swift, Kotlin, Flutter, React Native, SQLite 等)
・実装後に単体テストを実施し、動作確認を行った経験 (Xcode, Android Studio, Flutter test 等)",,,,開発|モバイルアプリ|Specialist,
dev-mobile-sp-2,改修,改修,"・既存画面の修正対象を把握し、表示修正を行う役割
・既存機能に対して、入力制御や画面遷移の修正を行う役割
・既存API連携やローカルデータ処理に対して、必要な修正を反映する役割
・改修内容に応じて、関連する詳細設計書を修正する役割","・既存画面の表示修正 (Swift, Kotlin, Dart, React Native 等)
・既存機能の入力制御、画面遷移の修正 (Swift, Kotlin, Flutter, React Native 等)
・既存API連携、ローカルデータ処理の軽微な修正 (Swift, Kotlin, Dart, SQLite 等)
・改修内容に応じた詳細設計書の修正","・既存画面の表示不具合やレイアウト調整に対応した経験 (Swift, Kotlin, Dart, React Native 等)
・既存機能の入力制御や画面遷移の修正を行った経験 (Swift, Kotlin, Flutter, React Native 等)
・既存API連携やローカルデータ処理の軽微な修正を行った経験 (Swift, Kotlin, Dart, SQLite 等)
・改修内容に応じて、詳細設計書を更新した経験",,,,開発|モバイルアプリ|Specialist,
dev-mobile-mg-6,PM（プロジェクトマネージャー）／開発マネージャ,PM,,,,,,,開発|モバイルアプリ|Manager,
dev-mobile-mg-5,PL／サブPM,PL／サブPM,,,,,,,開発|モバイルアプリ|Manager,
dev-mobile-mg-4,サブPL,サブPL,,,,,,,開発|モバイルアプリ|Manager,
dev-mobile-mg-3,リーダー,リーダー,,,,,,,開発|モバイルアプリ|Manager,
dev-mobile-mg-2,サブリーダー,サブリーダー,,,,,,,開発|モバイルアプリ|Manager,
dev-mobile-common-1,テスト（モバイルアプリケーション QA）,テスト,"・テスト仕様書や確認項目を確認し、テスト内容を把握する役割
・定められた手順に沿って、単体、結合、総合テストを実施する役割
・不具合の有無を確認し、テスト結果を記録、報告する役割
・不具合の再現確認および修正後の再テストを行う役割","・テスト仕様書、確認項目に沿った単体、結合、総合テスト
・テスト結果の記録、報告
・不具合の再現確認
・修正後の再テスト","・テスト仕様書や確認項目に沿って、単体、結合、総合テストを実施した経験
・テスト実施後に、結果を記録し、報告した経験
・不具合発生時に、再現確認を行った経験
・修正後に再テストを実施し、動作を確認した経験",,,,開発|モバイルアプリ|Manager,
infra-server-sp-6,TL (テックリード／技術責任)（技術責任者・方式設計・標準化統括・難易度課題解決）,TL (技術責任),後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,インフラ|サーバー|Specialist,
infra-server-sp-5,システム設計（詳細設計・運用設計担当）,システム設計,後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,インフラ|サーバー|Specialist,
infra-server-sp-4,構築・設定（手順書・詳細設計書ベース構築担当）,構築・設定,設計情報やパラメータをもとに、インフラ環境を構築・設定する役割,,,,,,インフラ|サーバー|Specialist,
infra-server-sp-3,運用保守（二次対応・障害対応担当）,運用保守（二次対応）,障害の原因調査、ログ確認、設定確認、復旧対応など、より深い運用保守を担う役割,,,,,,インフラ|サーバー|Specialist,
infra-server-sp-2,運用監視（一次対応担当）,運用監視（一次対応）,監視システムを用いて異常を検知し、手順に沿って一次対応とエスカレーションを行う役割,"・監視ツールを用いたサーバー、OS、ミドルウェア、ジョブの異常検知
・アラート内容の確認、障害概要の整理
・ログ、サービス状態、プロセスの一次確認
・手順書に沿った初動対応、二次対応者へのエスカレーション","・監視アラート発生時に、サーバー、OS、ミドルウェア、ジョブの異常を検知した経験
・発報内容を確認し、障害の概要を整理した経験
・障害対応の中で、ログ、サービス状態、プロセスの一次確認を行った経験
・手順書に沿って初動対応を実施し、必要事項を整理したうえで二次対応者へ引き継いだ経験",,,,インフラ|サーバー|Specialist,
infra-server-mg-6,インフラマネージャ（大規模基盤PJ／運用組織統括・複数PJ統括・予算／品質責任・経営支援）,インフラマネージャ,,,,,,,インフラ|サーバー|Manager,
infra-server-mg-5,PM（プロジェクト責任者・進捗／コスト／品質責任・ベンダーコントロール）,PM,,,,,,,インフラ|サーバー|Manager,
infra-server-mg-4,サブPM（プロジェクト責任者・進捗／コスト／品質責任・ベンダーコントロール）,サブPM,,,,,,,インフラ|サーバー|Manager,
infra-server-mg-3,リーダー（運用統制・育成・当番／シフト管理・品質管理）,リーダー,,,,,,,インフラ|サーバー|Manager,
infra-server-mg-2,サブリーダー（運用管理補助・品質／進捗補助・改善提案取りまとめ）,サブリーダー,,,,,,,インフラ|サーバー|Manager,
infra-server-common-1,運用監視補助・ヘルプデスクオペレータ,運用監視補助・ヘルプデス,問い合わせ対応、定型作業の支援、基本確認業務を通じて、運用現場を支える役割,"・問い合わせ内容の受付、整理、担当者への連携
・手順書に沿ったアカウント対応、定型作業対応
・PC、端末、周辺機器の初期設定、キッティング
・作業結果の記録、報告","・問い合わせを受けた際に、内容を整理したうえで担当者へ連携した経験
・手順書に沿って、アカウント対応や定型作業を実施した経験
・PC、端末、周辺機器の初期設定やキッティングを行った経験
・対応内容や作業結果を記録し、報告した経験",,,,インフラ|サーバー|Manager,
infra-network-sp-6,TL (テックリード／技術責任)（技術責任者・方式設計・標準化統括・難易度課題解決）,TL (技術責任),後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,インフラ|ネットワーク|Specialist,
infra-network-sp-5,システム設計（詳細設計・運用設計・移行設計担当）,システム設計,後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,インフラ|ネットワーク|Specialist,
infra-network-sp-4,構築・設定（手順書・詳細設計書ベース構築担当）,構築・設定,設計情報やパラメータをもとに、インフラ環境を構築・設定する役割,,,,,,インフラ|ネットワーク|Specialist,
infra-network-sp-3,運用保守（二次対応・障害対応・設定変更・改善担当）,運用保守（二次対応）,障害の原因調査、ログ確認、設定確認、復旧対応など、より深い運用保守を担う役割,,,,,,インフラ|ネットワーク|Specialist,
infra-network-sp-2,運用監視（一次対応・障害切り分け担当）,運用監視（一次対応）,監視システムを用いて異常を検知し、手順に沿って一次対応とエスカレーションを行う役割,"・監視ツールを用いたネットワーク機器、回線、FWの異常検知
・アラート内容の確認、障害概要の整理
・死活確認、インターフェース状態確認、疎通確認
・手順書に沿った初動対応、二次対応者へのエスカレーション","・監視アラート発生時に、ネットワーク機器、回線、FWの異常を検知した経験
・発報内容を確認し、障害の概要を整理した経験
・障害対応の中で、死活確認、インターフェース状態確認、疎通確認を行った経験
・手順書に沿って初動対応を実施し、必要事項を整理したうえで二次対応者へ引き継いだ経験",,,,インフラ|ネットワーク|Specialist,
infra-network-mg-6,インフラマネージャ（ネットワーク・インフラ統括責任者）,インフラマネージャ,,,,,,,インフラ|ネットワーク|Manager,
infra-network-mg-5,PM（ネットワークプロジェクトマネージャー・Manager候補）,PM,,,,,,,インフラ|ネットワーク|Manager,
infra-network-mg-4,サブPM（ベンダーコントロール・体制／進捗／品質／コスト管理・リリース調整）,サブPM,,,,,,,インフラ|ネットワーク|Manager,
infra-network-mg-3,リーダー,リーダー,,,,,,,インフラ|ネットワーク|Manager,
infra-network-mg-2,サブリーダー（運用管理補助・品質／進捗補助・改善提案取りまとめ）,サブリーダー,,,,,,,インフラ|ネットワーク|Manager,
infra-network-common-1,運用監視補助・ヘルプデスクオペレーター,運用監視補助・ヘルプデス,問い合わせ対応、定型作業の支援、基本確認業務を通じて、運用現場を支える役割,"・問い合わせ内容の受付、整理、担当者への連携
・ネットワーク障害に関する一次受付、状況確認
・回線、端末接続、無線接続の基本確認
・手順書に沿った定型作業対応","・問い合わせを受けた際に、内容を整理したうえで担当者へ連携した経験
・ネットワーク障害に関する一次受付を行い、状況確認を実施した経験
・回線、端末接続、無線接続の基本確認を行った経験
・手順書に沿って定型作業を実施した経験",,,,インフラ|ネットワーク|Manager,
its-helpdesk-mg-6,サポート戦略責任者,サポート戦略責任者,後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,ITサポート|ヘルプデスク系|Manager,
its-helpdesk-mg-5,サービスマネージャー,サービスマネージャー,後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,ITサポート|ヘルプデスク系|Manager,
its-helpdesk-mg-4,ヘルプデスク運用設計,ヘルプデスク運用設計,"・ヘルプデスク業務の対応フローを設計する役割
・エスカレーション基準や運用ルールを整備する役割
・マニュアルやナレッジの整備、更新を進める役割
・現場課題をもとに運営改善を企画、推進する役割","・対応フローの設計、運用整理 (業務フロー, BPMN, Excel 等)
・エスカレーション基準、運用ルールの整備 (運用設計書, ルール表, 会議体 等)
・マニュアル、FAQ、ナレッジの整備、更新 (Notion, Confluence, Google Docs 等)
・課題抽出、改善施策の立案、推進 (KPI管理, SLA管理, 改善会議 等)","・ヘルプデスク業務の対応フローを整理し、設計した経験 (業務フロー, BPMN, Excel 等)
・エスカレーション基準や運用ルールを整備した経験 (運用設計書, ルール表, 会議体 等)
・マニュアル、FAQ、ナレッジの整備や更新を行った経験 (Notion, Confluence, Google Docs 等)
・現場課題を抽出し、改善施策を企画、推進した経験 (KPI管理, SLA管理, 改善会議 等)",,,,ITサポート|ヘルプデスク系|Manager,
its-helpdesk-mg-3,リーダー（ヘルプデスク）,リーダー（ヘルプデスク）,"・問い合わせや障害対応の優先度を判断する役割
・案件を適切な担当者へ振り分ける役割
・進捗や滞留状況を確認し、現場運営を調整する役割
・SVやメンバーからの相談を受け、対応判断を支援する役割","・問い合わせ、障害対応の優先度判断 (ServiceNow, Jira, SLA管理 等)
・案件の担当振り分け、アサイン調整 (チケット管理, シフト表, Excel 等)
・進捗確認、滞留案件の管理 (Backlog, Redmine, Excel 等)
・SVやメンバーへの対応判断支援、連携調整 (Teams, Slack, FAQ 等)","・問い合わせや障害対応について、優先度を判断した経験 (ServiceNow, Jira, SLA管理 等)
・案件の内容や負荷状況を踏まえ、担当者を振り分けた経験 (チケット管理, シフト表, Excel 等)
・進捗確認を行い、滞留案件を管理した経験 (Backlog, Redmine, Excel 等)
・SVやメンバーからの相談を受け、対応判断や進め方の支援を行った経験 (Teams, Slack, FAQ 等)",,,,ITサポート|ヘルプデスク系|Manager,
its-helpdesk-mg-2,SV（スーパーバイザー）,SV（スーパーバイザー）,"・一次対応で収まらない事象の内容を把握する役割
・状況確認や調査を行い、原因を切り分ける役割
・対応方針を整理し、必要な解決対応を進める役割
・必要に応じて関係部署や上位担当者へエスカレーションする役割","・一次対応で解決しない事象の内容整理、状況把握 (ServiceNow, Jira, メール 等)
・ログ、設定内容、操作履歴の確認による原因切り分け (管理画面, ログ, Microsoft 365管理センター 等)
・権限設定、アプリ設定、端末設定の変更対応 (Active Directory, Intune, Jamf 等)
・対応方針を整理し、必要に応じて関係部署や上位担当者へエスカレーション (ServiceNow, メール, 会議体 等)","・一次対応で解決しなかった事象について、内容を整理し、状況を把握した経験 (ServiceNow, Jira, メール 等)
・ログ、設定内容、操作履歴を確認し、原因の切り分けを行った経験 (管理画面, ログ, Microsoft 365管理センター 等)
・権限設定、アプリ設定、端末設定の変更対応を行った経験 (Active Directory, Intune, Jamf 等)
・対応方針を整理し、必要に応じて関係部署や上位担当者へエスカレーションした経験 (ServiceNow, メール, 会議体 等)",,,,ITサポート|ヘルプデスク系|Manager,
its-helpdesk-mg-1,ヘルプデスク（一次対応）,ヘルプデスク（一次対応）,"・利用者からの問い合わせを受け付ける役割
・問い合わせ内容を整理し、一次切り分けを行う役割
・手順書に沿って定型的な案内や一次対応を行う役割
・対応範囲を判断し、必要に応じて適切な担当者へ引き継ぐ役割","・問い合わせ内容の受付、整理 (Outlook, Teams, ServiceNow 等)
・問い合わせ内容の一次切り分け (FAQ, マニュアル, チケット 等)
・手順書に沿った定型的な案内、操作説明 (Windows 10/11, Microsoft 365 等)
・対応範囲を判断し、必要に応じて担当者へエスカレーション (メール, 電話, ServiceNow 等)","・利用者からの問い合わせを受け付け、内容を整理した経験 (Outlook, Teams, ServiceNow 等)
・問い合わせ内容を確認し、FAQや手順書をもとに一次切り分けを行った経験 (FAQ, マニュアル, チケット 等)
・手順書に沿って、定型的な案内や操作説明を行った経験 (Windows 10/11, Microsoft 365 等)
・自分の対応範囲を判断し、必要に応じて適切な担当者へ引き継いだ経験 (メール, 電話, ServiceNow 等)",,,,ITサポート|ヘルプデスク系|Manager,
its-admin-mg-6,業務統括,業務統括,後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,ITサポート|事務系|Manager,
its-admin-mg-5,業務設計,業務設計,後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,後日公開予定,ITサポート|事務系|Manager,
its-admin-mg-4,進捗管理,進捗管理,"・案件や申請全体の進捗を把握する役割
・遅延や滞留の原因を確認する役割
・関係者への確認、催促、状況整理を行う役割
・業務全体が前に進むよう進行を管理する役割","・案件、申請全体の進捗把握 (進捗管理表, Excel, Google Sheets 等)
・遅延、滞留要因の確認、整理 (管理表, 課題一覧, チケット 等)
・関係者への確認、催促、状況整理 (メール, Teams, 会議メモ 等)
・業務全体の進行管理、対応状況の可視化 (進捗表, ダッシュボード, 会議資料 等)","・案件や申請全体の進捗を把握した経験 (進捗管理表, Excel, Google Sheets 等)
・遅延や滞留の原因を確認し、状況を整理した経験 (管理表, 課題一覧, チケット 等)
・関係者へ確認や催促を行い、状況を整理した経験 (メール, Teams, 会議メモ 等)
・業務全体が前に進むよう進行を管理し、対応状況を可視化した経験 (進捗表, ダッシュボード, 会議資料 等)",,,,ITサポート|事務系|Manager,
its-admin-mg-3,リーダー（事務）,リーダー（事務）,"・案件や依頼内容の優先度を判断する役割
・メンバーの状況を踏まえ、業務を振り分ける役割
・メンバーの作業内容を確認し、必要に応じて指示・修正を行う役割
・進行状況や滞留案件を確認する役割
・メンバーからの相談に対応し、判断を支援する役割","・案件、依頼内容の優先度判断 (管理表, SLA, 締切情報 等)
・業務の振り分け、アサイン調整 (Excel, シフト表, タスク表 等)
・メンバーの作業内容のクロスチェック
・進行状況、滞留案件の確認、管理 (進捗表, Backlog, Google Sheets 等)
・メンバーへの判断支援、相談対応 (Teams, メール, FAQ 等)","・案件や依頼内容を確認し、優先度を判断した経験 (管理表, SLA, 締切情報 等)
・業務量や内容を踏まえて、メンバーへ業務を振り分けた経験 (Excel, シフト表, タスク表 等)
・メンバーが実施している業務内容の理解、適切な指示を行った経験
・進行状況を確認し、滞留案件を管理した経験 (進捗表, Backlog, Google Sheets 等)
・メンバーからの相談を受け、判断や進め方の支援を行った経験 (Teams, メール, FAQ 等)",,,,ITサポート|事務系|Manager,
its-admin-mg-2,内部調整,内部調整,"・不足情報や確認事項を関係者へ確認する役割
・申請者、担当者、関係部署の間に立って調整する役割
・業務が止まらないように依頼事項を整理する役割
・確認結果をもとに次の対応へつなげる役割","・不足情報、確認事項の洗い出し、確認依頼 (メール, Teams, 電話 等)
・申請者、担当者、関係部署との連絡、調整 (Outlook, Teams, チケット 等)
・依頼事項、対応順序の整理 (Excel, 管理表, ToDo表 等)
・確認結果をもとにした次対応への引き継ぎ、連携 (メール, Teams, 社内システム 等)","・不足情報や確認事項を洗い出し、関係者へ確認依頼を行った経験 (メール, Teams, 電話 等)
・申請者、担当者、関係部署の間に立ち、連絡や調整を行った経験 (Outlook, Teams, チケット 等)
・依頼事項や対応順序を整理し、業務が滞らないように対応した経験 (Excel, 管理表, ToDo表 等)
・確認結果を整理し、次の対応担当者へ引き継いだ経験 (メール, Teams, 社内システム 等)",,,,ITサポート|事務系|Manager,
its-admin-mg-1,事務,事務,"・申請内容や資料の内容を確認する役割
・定型的な入力、登録、更新作業を行う役割
・必要書類の不備や不足を確認する役割
・処理結果を記録し、関係者へ共有する役割","・申請内容、資料内容の確認 (Word, Excel, PDF 等)
・定型的な入力、登録、更新作業 (Excel, 社内システム, Google Sheets 等)
・必要書類の不備、不足確認 (チェックリスト, 申請書, 添付資料 等)
・処理結果の記録、共有 (Excel, メール, Teams 等)","・申請内容や資料内容を確認した経験 (Word, Excel, PDF 等)
・定型的な入力、登録、更新作業を行った経験 (Excel, 社内システム, Google Sheets 等)
・必要書類の不備や不足を確認した経験 (チェックリスト, 申請書, 添付資料 等)
・処理結果を記録し、関係者へ共有した経験 (Excel, メール, Teams 等)",,,,ITサポート|事務系|Manager,
its-pmo-cm-6,,,,,,,,,ITサポート|PMO支援|Manager,
its-pmo-cm-5,,,,,,,,,ITサポート|PMO支援|Manager,
its-pmo-cm-4,,,,,,,,,ITサポート|PMO支援|Manager,
its-pmo-cm-3,,,,,,,,,ITサポート|PMO支援|Manager,
its-pmo-cm-2,,,,,,,,,ITサポート|PMO支援|Manager,
its-pmo-cm-1,,,,,,,,,ITサポート|PMO支援|Manager,
