atomId,categoryId,statement,statementKo,sortOrder
t2-05,c1-reporting,作業結果を文書（メール・チケット）で報告できる,작업 결과를 문서(메일·티켓)로 보고할 수 있다,5
t2-06,c1-reporting,進行中の状況を関係者へ連絡できる,진행 중 상황을 관계자에게 연락할 수 있다,6
t2-07,c1-reporting,判断に迷う点を上位者へ相談できる,판단이 어려운 점을 상급자에게 상담할 수 있다,7
t2-08,c1-reporting,即時報告すべき事象（報告のタイミング）を挙げられる,즉시 보고해야 할 사상(보고 타이밍)을 들 수 있다,8
t2-09,c1-reporting,第三者が読んで分かる形で文書化できる,제3자가 읽고 알 수 있는 형태로 문서화할 수 있다,9
t2-10,c1-reporting,引き継ぎに必要な情報（事象・時刻・実施内容）を整理できる,인계에 필요한 정보(사상·시각·수행 내용)를 정리할 수 있다,10
t2-11,c1-reporting,勤務交代時の引き継ぎができる,근무 교대 시 인계를 할 수 있다,11
t2-12,c1-reporting,ビジネスマナーに沿ったやり取りができる,비즈니스 매너에 맞는 소통을 할 수 있다,12
t2-13,c1-reporting,事実と推測を区別して記録できる,사실과 추측을 구분해 기록할 수 있다,13
t3-01,c1-procedure,手順書を読んで作業の流れを把握できる,절차서를 읽고 작업 흐름을 파악할 수 있다,1
t3-02,c1-procedure,手順書どおりに作業を実施できる,절차서대로 작업을 수행할 수 있다,2
t3-03,c1-procedure,作業結果が手順書の想定どおりか確認できる,작업 결과가 절차서의 예상대로인지 확인할 수 있다,3
t3-04,c1-procedure,手順と実際の状況が異なるとき、作業を止めて確認できる,절차와 실제 상황이 다를 때 작업을 멈추고 확인할 수 있다,4
t3-05,c1-procedure,チェックシートで作業漏れを確認できる,체크시트로 작업 누락을 확인할 수 있다,5
t3-06,c1-procedure,作業のダブルチェックを依頼できる,작업의 더블체크를 의뢰할 수 있다,6
t3-07,c1-procedure,決められた時間内に定型作業を完了できる,정해진 시간 안에 정형 작업을 완료할 수 있다,7
t3-08,c1-procedure,手順書の誤りや分かりにくい箇所に気づいて報告できる,절차서의 오류나 이해하기 어려운 부분을 알아채고 보고할 수 있다,8
t4-01,c1-account,アカウント管理の基本的な仕組みを説明できる,계정 관리의 기본 구조를 설명할 수 있다,1
t4-02,c1-account,手順書に沿ってアカウントを登録できる,절차서에 따라 계정을 등록할 수 있다,2
t4-03,c1-account,手順書に沿ってアカウントを変更できる,절차서에 따라 계정을 변경할 수 있다,3
t4-04,c1-account,手順書に沿ってアカウントを削除（無効化）できる,절차서에 따라 계정을 삭제(무효화)할 수 있다,4
t4-05,c1-account,パスワードリセットの対応ができる,비밀번호 리셋 대응을 할 수 있다,5
t4-06,c1-account,権限申請の流れを説明できる,권한 신청의 흐름을 설명할 수 있다,6
t4-07,c1-account,本人確認のルールを説明できる,본인 확인 룰을 설명할 수 있다,7
t4-08,c1-account,アカウント作業の前に、申請内容と承認の有無を確認できる,계정 작업 전에 신청 내용과 승인 여부를 확인할 수 있다,8
t5-01,c1-device,PCの初期設定（キッティング）を手順書に沿って実施できる,PC 초기 설정(키팅)을 절차서에 따라 수행할 수 있다,1
t5-02,c1-device,周辺機器を接続できる,주변기기를 연결할 수 있다,2
t5-03,c1-device,周辺機器の設定ができる,주변기기의 설정을 할 수 있다,3
t5-04,c1-device,ソフトウェアをインストールできる,소프트웨어를 설치할 수 있다,4
t5-05,c1-device,ソフトウェアのアップデートを適用できる,소프트웨어 업데이트를 적용할 수 있다,5
t5-06,c1-device,設定後に動作確認ができる,설정 후 동작 확인을 할 수 있다,6
t5-07,c1-device,設定の不備や故障に気づける,설정 미비나 고장을 알아챌 수 있다,7
t5-08,c1-device,資産管理台帳を更新できる,자산 관리 대장을 갱신할 수 있다,8
t5-09,c1-device,端末の回収（返却・保管）の対応ができる,단말 회수(반납·보관) 대응을 할 수 있다,9
t5-10,c1-device,端末の初期化（データ消去）を手順書に沿って実施できる,단말 초기화(데이터 소거)를 절차서에 따라 수행할 수 있다,10
t5-11,c1-device,資産番号と実機を照合できる,자산번호와 실제 단말을 대조할 수 있다,11
t5-12,c1-device,セキュリティ設定や必須ソフトの適用状態を確認できる,보안 설정과 필수 소프트웨어의 적용 상태를 확인할 수 있다,12
t6-01,c1-monitoring,監視の仕組み（何を・どう監視しているか）を大まかに説明できる,감시 구조(무엇을·어떻게 감시하는지)를 대략 설명할 수 있다,1
t6-02,c1-monitoring,監視画面の見方を説明できる,감시 화면 보는 법을 설명할 수 있다,2
t6-03,c1-monitoring,アラート・通知の発生に気づける,알람·통지 발생을 알아챌 수 있다,3
t6-04,c1-monitoring,アラートの種類（重要度）を見分けられる,알람의 종류(중요도)를 분별할 수 있다,4
t6-05,c1-monitoring,サーバーやサービスの稼働状態を画面で確認できる,서버와 서비스의 가동 상태를 화면에서 확인할 수 있다,5
t6-06,c1-monitoring,ジョブ・バッチの実行結果を確認できる,잡·배치 실행 결과를 확인할 수 있다,6
t6-07,c1-monitoring,決められた時刻の定時点検を実施できる,정해진 시각의 정시 점검을 수행할 수 있다,7
t6-08,c1-monitoring,機器の目視点検（ランプ・状態表示）ができる,기기의 목시 점검(램프·상태 표시)을 할 수 있다,8
t6-09,c1-monitoring,異常時に決められた連絡先へ第一報を入れられる,이상 시 정해진 연락처에 제1보를 넣을 수 있다,9
t6-10,c2-assess,発報内容と手順書・構成情報を照らし合わせて、何が起きているかを確認できる,발보 내용을 절차서·구성 정보와 대조해 무슨 일이 일어나는지 확인할 수 있다,3
t6-11,c2-assess,障害の影響範囲を大まかに見積もれる,장애의 영향 범위를 대략 가늠할 수 있다,4
t6-12,c2-assess,緊急度を判断基準（手順書）に沿って分類できる,긴급도를 판단 기준(절차서)에 따라 분류할 수 있다,5
t2m-01,c2-monitor,アラートの対象（サーバー・サービス・ジョブなど）を特定できる,알람 대상(서버·서비스·잡 등)을 특정할 수 있다,1
t2m-02,c2-monitor,重複したアラートや、予定作業に伴うアラートを通常のアラートと区別できる,중복된 알람이나 예정 작업에 따른 알람을 통상 알람과 구별할 수 있다,2
t2m-03,c2-monitor,監視業務を一定期間、継続的に担当できる,감시 업무를 일정 기간 지속적으로 담당할 수 있다,3
t2a-01,c2-assess,サービスやプロセスの稼働状態を確認できる,서비스와 프로세스의 가동 상태를 확인할 수 있다,1
t2a-02,c2-assess,確認結果から、正常か異常かのあたりを付けられる,확인 결과로 정상·이상의 감을 잡을 수 있다,2
t2r-01,c2-response,手順書に沿って障害の初動対応を実施できる,절차서에 따라 장애 초동 대응을 수행할 수 있다,1
t2r-02,c2-response,決められた対応時間の目安を意識して行動できる,정해진 대응 시간 기준을 의식하며 행동할 수 있다,2
t2r-03,c2-response,一次対応で復旧しない場合、対応を打ち切って二次対応へ引き継ぐ判断ができる,일차 대응으로 복구되지 않을 경우 대응을 중단하고 2차 대응으로 인계하는 판단을 할 수 있다,3
t2e-01,c2-escalate,二次対応者へ、事象・時刻・対応内容を整理して引き継げる,2차 대응자에게 사상·시각·대응 내용을 정리해 인계할 수 있다,1
t2e-02,c2-escalate,エスカレーションの要否を判断できる,에스컬레이션 필요 여부를 판단할 수 있다,2
t7-01,c1-itbasics,サーバー・OSの基本用語を説明できる,서버·OS의 기본 용어를 설명할 수 있다,1
t7-02,c1-itbasics,ネットワークの基本用語（IP・DNSなど）を説明できる,네트워크 기본 용어(IP·DNS 등)를 설명할 수 있다,2
t7-03,c1-itbasics,担当システムの構成の概要を説明できる,담당 시스템 구성의 개요를 설명할 수 있다,3
t7-04,c1-itbasics,基本的なログから時刻・事象を読み取れる,기본적인 로그에서 시각·사상을 읽어낼 수 있다,4
t7-05,c1-itbasics,ファイル・フォルダの基本操作ができる,파일·폴더의 기본 조작을 할 수 있다,5
t7-06,c1-itbasics,決められたコマンドを手順書に沿って実行できる,정해진 커맨드를 절차서에 따라 실행할 수 있다,6
t7-07,c1-itbasics,Office系ツールで簡単な資料や表を作成できる,오피스계 도구로 간단한 자료나 표를 작성할 수 있다,7
t8-01,c1-security,情報の持ち出し・取り扱いルールを説明できる,정보 반출·취급 룰을 설명할 수 있다,1
t8-02,c1-security,パスワード・認証情報の取り扱いルールを説明できる,비밀번호·인증 정보 취급 룰을 설명할 수 있다,2
t8-03,c1-security,入退室・クリアデスクなどの物理ルールを守れる,입퇴실·클리어데스크 등 물리 룰을 지킬 수 있다,3
t8-04,c1-security,紛失・誤送信などインシデント発生時の報告ルールを説明できる,분실·오발송 등 인시던트 발생 시 보고 룰을 설명할 수 있다,4
t8-05,c1-security,自分の作業権限の範囲を説明できる,자신의 작업 권한 범위를 설명할 수 있다,5
t8-06,c1-security,権限範囲外の依頼を受けたとき、独断せず確認・報告できる,권한 범위 밖의 의뢰를 받았을 때 독단하지 않고 확인·보고할 수 있다,6
t8-07,c1-security,不審な依頼やメールに気づいて報告できる,의심스러운 의뢰나 메일을 알아채고 보고할 수 있다,7
t9-01,c1-site,担当案件の体制（誰が何の担当か）を説明できる,담당 안건의 체제(누가 무슨 담당인지)를 설명할 수 있다,1
t9-02,c1-site,事象別に、誰へ・どの手段で・いつ連絡するか（エスカレーションルート）を説明できる,사상별로 누구에게·어떤 수단으로·언제 연락하는지(에스컬레이션 루트)를 설명할 수 있다,2
t9-03,c1-site,勤務シフト・交代のルールを説明できる,근무 시프트·교대 룰을 설명할 수 있다,3
t9-04,c1-site,障害時に誰へ連絡するか（連絡網)を説明できる,장애 시 누구에게 연락하는지(연락망)를 설명할 수 있다,4
