categoryId,track,subtrack,stage,labelJa,labelKo,includes,sortOrder
hd2-config,it-support,ヘルプデスク系,2,権限・端末・アプリ設定の変更対応,,hd1-account|hd1-asset|hd1-security,3
hd2-resolve,it-support,ヘルプデスク系,2,解決対応の実施・利用者への説明,,hd1-guidance|hd1-manner|hd1-office,4
hd2-close,it-support,ヘルプデスク系,2,完了確認・クローズ処理,,,5
hd2-escalate,it-support,ヘルプデスク系,2,対応方針の整理・エスカレーション,,hd1-escalate|hd1-site,6
hd2-record,it-support,ヘルプデスク系,2,対応記録・進行管理,,hd1-record,7
hd3-priority,it-support,ヘルプデスク系,3,優先度の判断（SLA・影響範囲）,,hd2-assess,1
hd3-assign,it-support,ヘルプデスク系,3,案件の振り分け・アサイン調整,,,2
hd3-progress,it-support,ヘルプデスク系,3,進捗確認・滞留案件の管理,,hd2-record|hd2-close,3
hd3-quality,it-support,ヘルプデスク系,3,対応品質の確認・クロスチェック,,hd2-resolve|hd2-config,4
hd3-support,it-support,ヘルプデスク系,3,メンバーの判断支援・連携調整,,hd2-diagnose|hd2-escalate,5
hd3-knowledge,it-support,ヘルプデスク系,3,FAQ・手順書の整備,,,6
ad1-intake,it-support,事務系,1,依頼・申請の受付,,,1
ad1-verify,it-support,事務系,1,申請内容・資料の確認,,,2
ad1-check,it-support,事務系,1,必要書類の不備・不足確認,,,3
ad1-routine,it-support,事務系,1,定型的な入力・登録・更新,,,4
ad1-record,it-support,事務系,1,処理結果の記録・共有,,,5
ad1-escalate,it-support,事務系,1,判断の確認・上位への相談,,,6
ad1-office,it-support,事務系,1,Office での資料作成,,,7
ad1-manner,it-support,事務系,1,申請者への案内・確認,,,8
ad1-itbasics,it-support,事務系,1,IT基礎知識,,,9
ad1-security,it-support,事務系,1,個人情報・書類の取り扱い,,,10
ad1-site,it-support,事務系,1,現場理解・体制,,,11
ad2-gap,it-support,事務系,2,不足情報の洗い出し・確認依頼,,ad1-verify|ad1-check,1
ad2-coordinate,it-support,事務系,2,関係者間の連絡・調整,,ad1-manner|ad1-site|ad1-security,2
ad2-order,it-support,事務系,2,依頼事項・対応順序の整理,,ad1-routine|ad1-office|ad1-itbasics,3
ad2-handover,it-support,事務系,2,次対応への引き継ぎ・連携,,ad1-escalate,4
ad2-record,it-support,事務系,2,対応記録・進行管理,,ad1-record|ad1-intake,5
ad2-close,it-support,事務系,2,完了確認・処理の締め,,,6
ad3-priority,it-support,事務系,3,優先度の判断（締切・影響）,,ad2-gap,1
ad3-assign,it-support,事務系,3,業務の振り分け・アサイン調整,,,2
ad3-progress,it-support,事務系,3,進行状況・滞留案件の管理,,ad2-record|ad2-close,3
ad3-quality,it-support,事務系,3,作業内容のクロスチェック,,ad2-order|ad2-handover,4
ad3-support,it-support,事務系,3,メンバーの判断支援・相談対応,,ad2-coordinate,5
ad3-knowledge,it-support,事務系,3,手順書・チェックリストの整備,,,6
dw1-spec,development,Webアプリケーション,1,テスト仕様の理解・準備,,,1
dw1-exec,development,Webアプリケーション,1,テストの実施（単体・結合・システム）,,,2
dw1-defect,development,Webアプリケーション,1,不具合の確認・再現,,,3
dw1-report,development,Webアプリケーション,1,テスト結果の記録・報告,,,4
dw1-retest,development,Webアプリケーション,1,修正後の再テスト,,,5
dw1-tools,development,Webアプリケーション,1,開発環境・ツールの基本操作,,,6
dw1-readspec,development,Webアプリケーション,1,仕様書・設計書の読み方,,,7
dw1-basics,development,Webアプリケーション,1,IT・開発の基礎知識,,,8
dw1-security,development,Webアプリケーション,1,セキュリティ・情報の取り扱い,,,9
dw1-site,development,Webアプリケーション,1,開発現場の理解・体制,,,10
dw2-target,development,Webアプリケーション,2,改修対象の把握,,dw1-readspec|dw1-spec,1
dw2-ui,development,Webアプリケーション,2,既存画面の表示修正,,dw1-defect,2
dw2-logic,development,Webアプリケーション,2,既存機能の条件分岐・文言の修正,,dw1-basics,3
dw2-data,development,Webアプリケーション,2,既存API・SQLの軽微な修正,,dw1-security,4
dw2-doc,development,Webアプリケーション,2,詳細設計書の更新,,dw1-report,5
dw2-verify,development,Webアプリケーション,2,影響確認・デグレ確認,,dw1-exec|dw1-retest,6
dw2-vcs,development,Webアプリケーション,2,バージョン管理・レビュー対応,,dw1-tools|dw1-site,7
dw3-read,development,Webアプリケーション,3,詳細設計書の読解・実装計画,,dw2-target,1
dw3-ui,development,Webアプリケーション,3,画面機能の実装,,dw2-ui,2
dw3-core,development,Webアプリケーション,3,API・サーバー処理・DB入出力の実装,,dw2-data,3
dw3-unittest,development,Webアプリケーション,3,単体テストの実施,,dw2-verify,4
dw3-quality,development,Webアプリケーション,3,コード品質・レビュー対応,,dw2-vcs|dw2-doc,5
dw3-debug,development,Webアプリケーション,3,実装した機能の不具合調査・修正,,dw2-logic,6
dm1-spec,development,モバイルアプリ,1,テスト仕様の理解・準備,,,1
dm1-exec,development,モバイルアプリ,1,テストの実施（単体・結合・システム）,,,2
dm1-defect,development,モバイルアプリ,1,不具合の確認・再現,,,3
dm1-report,development,モバイルアプリ,1,テスト結果の記録・報告,,,4
dm1-retest,development,モバイルアプリ,1,修正後の再テスト,,,5
dm1-tools,development,モバイルアプリ,1,開発環境・ツールの基本操作,,,6
dm1-readspec,development,モバイルアプリ,1,仕様書・設計書の読み方,,,7
dm1-basics,development,モバイルアプリ,1,IT・開発の基礎知識,,,8
dm1-security,development,モバイルアプリ,1,セキュリティ・情報の取り扱い,,,9
dm1-site,development,モバイルアプリ,1,開発現場の理解・体制,,,10
dm2-target,development,モバイルアプリ,2,改修対象の把握,,dm1-readspec|dm1-spec,1
dm2-ui,development,モバイルアプリ,2,既存画面の表示修正,,dm1-defect,2
dm2-logic,development,モバイルアプリ,2,既存機能の入力制御・画面遷移の修正,,dm1-basics,3
dm2-data,development,モバイルアプリ,2,既存API連携・ローカルデータ処理の修正,,dm1-security,4
dm2-doc,development,モバイルアプリ,2,詳細設計書の更新,,dm1-report,5
dm2-verify,development,モバイルアプリ,2,影響確認・デグレ確認,,dm1-exec|dm1-retest,6
dm2-vcs,development,モバイルアプリ,2,バージョン管理・レビュー対応,,dm1-tools|dm1-site,7
dm3-read,development,モバイルアプリ,3,詳細設計書の読解・実装計画,,dm2-target,1
dm3-ui,development,モバイルアプリ,3,画面機能の実装,,dm2-ui,2
dm3-core,development,モバイルアプリ,3,画面遷移・API連携・ローカルデータ処理の実装,,dm2-data,3
dm3-unittest,development,モバイルアプリ,3,単体テストの実施,,dm2-verify,4
dm3-quality,development,モバイルアプリ,3,コード品質・レビュー対応,,dm2-vcs|dm2-doc,5
dm3-debug,development,モバイルアプリ,3,実装した機能の不具合調査・修正,,dm2-logic,6
